session,run,arm,position,bound,draws,parts,n,pct_boosted,foreign_max,frame_p50,frame_p99,submit_p50,submit_p99,gpu_sum_p50,gpu_sum_p99,fwd_p50,fwd_p99,ssr_p50,dp_p50,tm_p50,execute_p50,declare_p50,perf_frame_p50,perf_submit_p50,perf_render_p50
h1,r01-T,T,1,1,1834,1314,1400,0.4483,282,4.0355,4.9474,2.30415,2.9421,1.6627,2.1496,0.581376,0.748288,0.785408,0.06144,0.033792,1.4256,0.2931,15.65,4.36,6.22
h1,r02-F,F,2,0,1834,1314,1400,0.4659,535,3.8708,4.8367,2.18565,3.1296,1.546,2.2776,0.57344,0.841472,0.68096,0.061184,0.032768,1.3759,0.2927,15.064,2.602,5.216
h1,r03-F,F,3,0,1834,1314,1400,0.4432,612,3.9091,4.8551,2.1933,2.7373,1.547,1.9515,0.57344,0.718848,0.68096,0.061184,0.032768,1.3968,0.2927,17.188,6.237,8.034
h1,r04-T,T,4,1,1834,1314,1400,0.4457,1286,4.03085,5.9914,2.3055,3.0687,1.6579,2.1883,0.580352,0.76544,0.78336,0.06144,0.033792,1.4090500000000001,0.3011,14.806,2.946,5.35
h1,r05-T,T,5,1,1834,1314,1400,0.5,84,4.0238,4.7871,2.2884,3.064,1.6576,2.2579,0.580864,0.78848,0.782336,0.06144,0.033792,1.41655,0.305,14.216,2.604,4.356
h1,r06-F,F,6,0,1834,1314,1400,0.4022,1017,4.003,5.2731,2.2413,3.4416,1.5816,2.1809,0.584192,0.8064,0.697344,0.062464,0.032768,1.4513,0.30175,15.354,2.684,4.455
h1,r07-F,F,7,0,1834,1314,1400,0.4607,760,3.95665,5.3668,2.21745,3.6208,1.5613,2.4379,0.57856,0.902656,0.688128,0.061696,0.032768,1.4135,0.3002,14.006,2.495,4.282
h1,r08-T,T,8,1,1834,1314,1400,0.4286,551,4.06485,5.1739,2.3231,3.1245,1.6678,2.2771,0.584192,0.792064,0.787456,0.061696,0.033792,1.4233,0.2985,15.374,4.511,6.285
h2,r01-F,F,1,0,1834,1314,1400,0.4886,1129,3.987,5.5594,2.21675,3.1954,1.5616,2.1891,0.579072,0.81024,0.688128,0.061952,0.032768,1.4499,0.3006,14.349,2.488,4.318
h2,r02-T,T,2,1,1834,1314,1400,0.4444,925,4.04525,5.7564,2.3149,2.9098,1.6668,2.0905,0.583424,0.730112,0.787456,0.061696,0.033792,1.4078499999999998,0.3007,15.629,4.409,6.137
h2,r03-T,T,3,1,1834,1314,1400,0.4396,1110,4.055350000000001,5.2563,2.2954499999999998,2.839,1.6502,2.0298,0.578048,0.707584,0.779264,0.061184,0.033792,1.43785,0.3068,17.702,6.53,8.374
h2,r04-F,F,4,0,1834,1314,1400,0.4886,836,3.8844,5.126,2.17815,3.2729,1.5419,1.9948,0.568576,0.734208,0.68096,0.061184,0.032768,1.3907500000000002,0.2953,15.114,2.555,5.197
h2,r05-F,F,5,0,1834,1314,1400,0.3977,47,3.89005,4.6243,2.18635,2.8661,1.5506,2.0813,0.574976,0.77056,0.683008,0.061184,0.032768,1.3898,0.2954,17.217,5.903,7.73
h2,r06-T,T,6,1,1834,1314,1400,0.4494,80,3.9992,4.7476,2.3047,3.0108,1.6584,2.2164,0.580864,0.773376,0.78336,0.06144,0.033792,1.3834,0.2942,14.217,2.679,4.429
h2,r07-T,T,7,1,1834,1314,1400,0.4286,211,4.00635,4.6372,2.28505,2.8862,1.6494,2.1222,0.573952,0.736256,0.781312,0.061184,0.033792,1.4061,0.2975,17.604,6.309,8.176
h2,r08-F,F,8,0,1834,1314,1400,0.4545,127,3.9000000000000004,4.8345,2.1935,3.074,1.5508,2.0155,0.571264,0.720896,0.685056,0.06144,0.032768,1.37705,0.30535,14.142,2.538,4.26
r2,r01-T,T,1,1,1834,1314,1400,0.4778,217,4.0699000000000005,4.8077,2.3113,3.0453,1.6585,2.1878,0.576768,0.704256,0.785408,0.061696,0.033792,1.42225,0.3093,15.721,2.902,4.641
r2,r02-F,F,2,0,1834,1314,1400,0.4333,175,3.89335,5.5332,2.1894,3.7008,1.5567,2.4704,0.57344,0.909824,0.688128,0.061952,0.032768,1.3825,0.3025,14.094,2.679,4.451
r2,r03-F,F,3,0,1834,1314,1400,0.4773,221,3.9833,4.748,2.2061,2.9699,1.5542,2.1591,0.5696,0.794624,0.688128,0.061952,0.032768,1.43765,0.3139,15.693,3.26,4.998
r2,r04-T,T,4,1,1834,1314,1400,0.4607,272,4.06105,4.7165,2.3073,2.9685,1.6573,2.1873,0.576512,0.759552,0.785408,0.06144,0.033792,1.41925,0.313,14.416,2.69,4.517
r2,r05-T,T,5,1,1834,1314,1400,0.4886,282,4.01785,4.6408,2.2939,2.8286,1.6484,1.9407,0.573184,0.667904,0.780288,0.06144,0.033792,1.3991,0.3083,14.78,2.812,4.782
r2,r06-F,F,6,0,1834,1314,1400,0.4382,174,3.8404,5.5109,2.1699,3.7841,1.5406,2.1568,0.56576,0.786688,0.681984,0.06144,0.032768,1.3616,0.2931,14.079,2.469,4.241
r2,r07-F,F,7,0,1834,1314,1400,0.4725,900,4.09375,7.4907,2.29515,3.8523,1.6164,2.5958,0.5952,0.958208,0.714752,0.064256,0.033792,1.4341499999999998,0.31755,14.093,2.471,4.206
r2,r08-T,T,8,1,1834,1314,1400,0.4719,359,4.02075,5.2156,2.3049999999999997,3.2399,1.6637,2.3933,0.578048,0.633088,0.787456,0.061696,0.033792,1.3876,0.2995,15.36,2.745,4.743
